cap,color,drive,fuel,km,make,model,power,price,trans,year
1910cm3,Niebieski,Naprzedniekoła,Diesel,227643km,Opel,Astra,150KM,19999,Manualna,2007
1598cm3,Czarny,Naprzedniekoła,Benzyna,,Peugeot,308CC,200KM,34900,Manualna,2011
1781cm3,Srebrny,Naprzedniekoła,Benzyna,281603km,Audi,TT,150KM,21900,Manualna,2005
2962cm3,Czarny,Natylnekoła,Benzyna,186696km,MercedesBenz,SL,231KM,60999,Automatyczna,1991
5461cm3,Innykolor,Natylnekoła,Benzyna,65000km,MercedesBenz,SL,564KM,269000,Automatyczna,2014
3600cm3,Biały,Natylnekoła,Benzyna,295000km,Porsche,911,250KM,185000,Manualna,1984
2967cm3,Czarny,4x4stały,Diesel,304000km,Audi,A5,240KM,51500,Automatyczna,2010
1997cm3,Niebieski,Naprzedniekoła,BenzynaLPG,197000km,Peugeot,307,143KM,18700,Manualna,2007
2993cm3,Czarny,4x4stały,Benzyna,1550km,BMW,M4,510KM,579900,Automatyczna,2021
1795cm3,Srebrny,Natylnekoła,Benzyna,149000km,MercedesBenz,SLK,163KM,29999,Automatyczna,2006
1968cm3,Srebrny,Naprzedniekoła,Diesel,169500km,Audi,A4,143KM,24900,Automatyczna,2007
2687cm3,Niebieski,Natylnekoła,Benzyna,190000km,Porsche,Boxster,220KM,69000,Automatyczna,2000
1997cm3,Srebrny,Naprzedniekoła,Benzyna,179000km,Peugeot,307,138KM,13990,Automatyczna,2004
1984cm3,Biały,Naprzedniekoła,Benzyna,112000km,Volkswagen,Beetle,211KM,54900,Automatyczna,2014
1984cm3,Niebieski,4x4dołączanyautomatycznie,Benzyna,103126km,Audi,A5,225KM,72999,Automatyczna,2015
5461cm3,Srebrny,Natylnekoła,Benzyna,2260km,MercedesBenz,SL,585KM,649000,Automatyczna,2017
1600cm3,Szary,Naprzedniekoła,Benzyna,163000km,Peugeot,207CC,120KM,15000,Manualna,2008
1598cm3,Czerwony,Naprzedniekoła,Benzyna,118870km,Peugeot,207,120KM,14600,Manualna,2007
4395cm3,Szary,4x4stały,Benzyna,38500km,BMW,Seria8,530KM,395000,Automatyczna,2019
1796cm3,Innykolor,Naprzedniekoła,Benzyna,174000km,Opel,Tigra,125KM,14900,Manualna,2009
4939cm3,Biały,Natylnekoła,Benzyna,183690km,MercedesBenz,SL,223KM,99800,Automatyczna,1988
1798cm3,Fioletowy,Natylnekoła,Benzyna,198000km,Mazda,MX5,126KM,28500,Manualna,2006
1598cm3,Szary,Naprzedniekoła,Benzyna,162000km,Peugeot,308CC,120KM,24950,Manualna,2010
4736cm3,Bordowy,Natylnekoła,Benzyna,58029km,Ford,Mustang,225KM,150000,Automatyczna,1966
1598cm3,Niebieski,Naprzedniekoła,Benzyna,190000km,Renault,Megane,110KM,6700,Manualna,2000
1840cm3,Srebrny,Natylnekoła,Benzyna,204930km,Mazda,MX5,146KM,21990,Manualna,2002
2429cm3,Srebrny,Naprzedniekoła,Benzyna,103200km,Chrysler,PTCruiser,143KM,15900,Manualna,2007
1598cm3,Srebrny,Naprzedniekoła,Benzyna,155100km,Renault,Megane,115KM,9999,Manualna,2004
5461cm3,Innykolor,Natylnekoła,Benzyna,102000km,MercedesBenz,SL,388KM,68900,Automatyczna,2007
2295cm3,Srebrny,Natylnekoła,Benzyna,272761km,MercedesBenz,CLK,197KM,24900,Manualna,2000
1242cm3,Biały,Naprzedniekoła,Benzyna,159000km,Fiat,500,69KM,20900,Manualna,2011
1896cm3,Srebrny,Naprzedniekoła,Diesel,195000km,Volkswagen,NewBeetle,100KM,14300,Manualna,2006
